russian_title,english_title,rating,vote_count,genre,director,is_film,start_year,end_year,duration_minutes,country,actors
"Синь Цицзи, 1162 год",Xin Qiji 1162,,,боевик,Чжан Чжэ,True,2020.0,,110.0,Китай,Се Мяо|Нань Шэн
Навстречу мечте,Following the dream,,,драма,Ирина Гобозашвили,True,2020.0,,72.0,Россия,Ольга Хохлова|Катя Лащенко
Эвакуатор,Rekka,,,триллер,Ли Хо,True,2019.0,,70.0,Корея Южная,Ли Тхэ-сон|Кан Ги-дун
Звёздные войны: Галактика приключений,Star Wars Galaxy of Adventures,6.8,356.0,Режиссёр: Бэрри Дж. Келли,,False,2018.0,2018.0,,мультфильм,Николас Ройе|Данте Баско
Альянс советников,Da jun shi si ma yi zhi jun shi lian meng,,,драма,Чжан Юнсинь,False,,,,Китай,У Сюбо|Лю Тао
Переустановка Сакурады,Sakurada Reset,7.1,356.0,мультфильм,Масая Кавамо,False,,,,Япония,Каито Исикава|Кана Ханадзава
Не читайте это в самолёте,Don't Read This on a Plane,5.7,356.0,драма,Стюарт Макбрэтни,True,2020.0,,93.0,Австралия,Софи Десмаре|Виктор фон Ширах
Дитя хаоса,Chaos;Child,6.3,356.0,аниме,,False,,,,Япония,Моника Риал
Глобальный кризис,Global Meltdown,4.1,356.0,фантастика,Дэниэл Гилбой,True,2017.0,,90.0,Канада,Майкл Паре|Эль Янг
Пойдем поплаваем,Come Swim,6.2,356.0,короткометражка,Кристен Стюарт,True,2017.0,,17.0,США,Darby Dempsey|Sullivan Dempsey
Джек-потрошитель. Охота за маньяком,Jack the Ripper,,,детектив,Себастьян Ниман,True,2016.0,,100.0,Германия,Соня Герхардт|Фальк Хеншел
Голди и мишка,Goldie and Bear,,,мультфильм,Крис Джиллигэн,False,2015.0,2015.0,,США,Джорджина Кордова|Натали Ландер
Госнелл: Суд над серийным убийцей,Gosnell: The Trial of America's Biggest Serial Killer,5.8,356.0,драма,Ник Сирси,True,2018.0,,93.0,США,Майкл Бич|Джанин Тернер
В поисках сокровищ: Змеиный остров,Treasure Quest: Snake Island,,,приключения,,False,,,,США,Ryan Mill
Узоры любви – Кушутара,Kushuthara: Pattern of Love,6.0,356.0,драма,Карма Деки,True,2017.0,,92.0,Бутан,Карма Чедон|Эмрис Купер
Такова дружба,Kaisi Yeh Yaariyan,,,драма,Ашима Чиббер,False,,,,Индия,Parth Samthaan|Niti Taylor
Женщина-пистолет,Gun Woman,5.3,356.0,боевик,Курандо Мицутакэ,True,2014.0,,86.0,Япония,Асами|Каири Нарита
Эхо войны,Echoes of War,5.2,356.0,триллер,Kane Senes,True,2015.0,,100.0,США,Джеймс Бэдж Дейл|Итэн Эмбри
Добро пожаловать в Уиллитс,Welcome to Willits,4.0,356.0,ужасы,Тревор Райан,True,2016.0,,84.0,США,Билл Сейдж|Крис Зилка
Не открывай глаза,Don't Open Your Eyes,,,ужасы,Дмитрий Юн,True,2018.0,,105.0,США,Том Кемнитц мл.|Гергана Меллин
Маленький мальчик-гей,Little Gay Boy,,,драма,Энтони Хиклинг,True,2013.0,,72.0,Франция,Гаэтан Веттье|Манюэль Блан
С возвращением,Bienvenue parmi nous,6.9,356.0,драма,Жан Беккер,True,2012.0,,92.0,Франция,Патрик Шене|Джинн Ламберт
Девичья секта: Невинные любовницы,Shoujo Sect,6.3,356.0,аниме,Рюки Мидорики,False,,,,Япония,Хитоми|Сихо Кавараги
Кинг,King,6.8,356.0,драма,Джерри Чиккоритти,False,2011.0,2011.0,,Канада,Эми Прайс-Фрэнсис|Алан Ван Спрэнг
От сердца,Corazón de...,6.3,356.0,новости,Miguel Cruz,False,1997.0,1997.0,,Испания,Daniel Hunt|Ванеса Ромеро
Рождённый летать,Airborne,3.6,356.0,ужасы,Доминик Бёрнс,True,2012.0,,81.0,Великобритания,Крэйг Конуэй|Саймон Филлипс
Потеря человечности,Ningen shikkaku,7.3,356.0,драма,Гэндзиро Арато,True,2010.0,,134.0,Япония,Тома Икута|Юсукэ Исэя
Мир после мира,Afterworld,7.6,356.0,фантастика,Стэн Рогов,False,2007.0,2007.0,,США,Роурк Критчлоу|Эндрю Эблесон
Долгие каникулы,Long Vacation,8.3,356.0,драма,Кодзо Нагаяма,False,,,,Япония,Такуя Кимура|Томоко Ямагути
День убиения,ThanksKilling,5.8,356.0,ужасы,Джордан Дауни,True,2008.0,,70.0,США,Wanda Lust|Наташа Кордова
Вдовы,Widows,7.6,356.0,драма,Иэн Тойнтон,False,,,,Великобритания,Энн Митчелл|Фиона Хендли
Дрезден,Dresden,6.9,356.0,драма,Роланд Зузо Рихтер,True,2006.0,,176.0,Германия,Фелицитас Волль|Джон Лайт
Девушка,La ragazzina,5.7,356.0,драма,Марио Импероли,True,1974.0,,101.0,Италия,Глория Гвида|Колетт Декомб
Эротика,Erótica,,,триллер,Эмилио Фернандес,True,1979.0,,82.0,Мексика,Хорхе Риверо|Ребека Сильва
Когда вмешивается женщина,Quand la femme s'en mêle,6.4,356.0,драма,Ив Аллегре,True,1957.0,,90.0,Франция,Эдвиж Фёйер|Жан Сервэ
Большая дуэль,Il grande duello,6.3,356.0,боевик,Джанкарло Санти,True,1972.0,,98.0,Италия,Ли Ван Клиф|Альберто Дентиче
Ночь подсолнухов,La noche de los girasoles,6.4,356.0,триллер,Хорхе Санчес-Кабесудо,True,2006.0,,123.0,Испания,Кармело Гомес|Джудит Диакате
Темная сторона сердца,El lado oscuro del corazón,7.1,356.0,драма,Элисео Субьела,True,1992.0,,127.0,Аргентина,Дарио Грандинетти|Сандра Бальестерос
Возвращение безумных новобранцев,Le retour des bidasses en folie,6.3,356.0,комедия,Мишель Вокоре,True,1983.0,,85.0,Франция,Жерар Ринальди|Жан Саррю
Банда ангелов,Band of Angels,7.1,356.0,драма,Рауль Уолш,True,1957.0,,125.0,США,Кларк Гейбл|Ивонн Де Карло
Большой грешник,The Great Sinner,7.0,356.0,драма,Роберт Сьодмак,True,1949.0,,110.0,США,Грегори Пек|Ава Гарднер
Гараж,The Garage,6.2,356.0,короткометражка,Роско ’Толстяк’ Арбакль,True,1920.0,,25.0,США,Роско ’Толстяк’ Арбакль|Бастер Китон
Суд – это я,"I, the Jury",6.0,356.0,триллер,Ричард Т. Хеффрон,True,1981.0,,111.0,США,Арманд Ассанте|Барбара Каррера
Полуденный кошмар,Nightmare at Noon,5.3,356.0,ужасы,Нико Масторакис,True,1987.0,,96.0,США,Уингз Хаузер|Бо Хопкинс
Папаша и другие,Daddy and Them,5.3,356.0,драма,Билли Боб Торнтон,True,2001.0,,101.0,США,Билли Боб Торнтон|Лора Дерн
Хатари!,Hatari!,6.6,356.0,боевик,Ховард Хоукс,True,1962.0,,157.0,США,Джон Уэйн|Харди Крюгер
Bayguys,,,,комедия,Аман Ергазиев,,,,,Казахстан,Жалгас Елеусинов|Магжан Нургали
Поколение романтиков,Feng liu yi dai,6.9,355.0,драма,Цзя Чжанкэ,True,2024.0,,111.0,Китай,Чжао Тао|Чжоу Ю
Джимми Сэвил: Британская история ужасов,Jimmy Savile: A British Horror Story,6.5,355.0,документальный,Роуэн Дикон,False,,,,Великобритания,Robin Colvill|Шарлотта Де Силва
Тюремщик,Jailer,,,боевик,Нельсон Дилипкумар,True,2023.0,,168.0,Индия,Раджиникант|Моханлал
Кнутбю,Knutby,,,драма,Горан Капетанович,False,,,,Швеция,Альба Аугуст|Алиетт Офейм
An Irish Angel,,,,драма,Дэнни Патрик,,,,,Великобритания,Джулиан Гловер|Джейми Уинстон
Мнимый доктор,Le médecin imaginaire,,,комедия,Ахмед Хамиди,True,2022.0,,86.0,Франция,Альбан Иванов|Фатсах Буяхмед
Оникс Удачный и талисман душ,Onyx the Fortuitous and the Talisman of Souls,5.4,355.0,ужасы,Эндрю Баузер,True,2023.0,,108.0,США,Эндрю Баузер|Ребекка Браун
Введение в детективы,Mystery 101,,,Режиссёр: Блэр Хэйес,,False,,,,драма,Джилл Вагнер|Кристоффер Полаха
Мой папа – супергерой,Copperman,5.5,355.0,мелодрама,Эрос Пульелли,True,2019.0,,95.0,Италия,Лука Арджентеро|Антония Труппо
Прелюдия,Prélude,5.8,355.0,драма,Сабрина Сараби,True,2019.0,,95.0,Германия,Луис Хофман|Лив Лиза Фрис
Убийство в Альпийском предгорье,Crime dans les Alpilles,6.3,355.0,триллер,Эрик Дюре,True,2017.0,,90.0,Франция,Флоранс Пернель|Венсан Винтеральтер
